id,group_name,num_members,pagerank
18589616,Agile Nashville User Group,862,25.863966768400797
526316,¡Diablos Que Bailan! (Salsa Nashville),3472,23.72697589574144
1187715,What the Pho!,1889,21.198693415384703
18616278,Franklin Developer Lunch & Learn,629,19.502933040619318
19654655,Nashville Music Programmers,516,18.29196933369692
17872862,Nashville Amazon Web Services User Group,476,17.211368286179226
1642477,"Movie Lovers:  New, Classic, and Foreign Films Meetup",875,15.205545964621601
19728145,Stepping Out Social Dance Meetup,1778,13.763421626949462
1349592,Board Game Lovers Meetup,2261,12.202938571798708
22736876,Business Connections Networking Group,126,10.494409422621652
19822479,Nashville Entrepreneurs Network,1192,9.420177439688333
47094,The Greater Nashville RPG and Board Gamers Group,2375,9.25367429798479
17467312,NashMicro - The Nashville Microcontroller Makers Group,646,9.24399823201974
1371991,The Joy of Dining Out with Friends Meetup,2032,8.126971794446902
22730657,Her Heart Project,490,7.027471053829244
7700282,Tennessee Real Estate Investors Meetup,1292,6.78735956535815
18573279,Advanced Audio + Applications Exchange (A3E) - Nashville,271,6.6058795734057
18955830,Eat Love Nash,5008,6.052058083078364
18882523,Nashville Electronic Music & Synthesizer Meetup,405,6.005084351421528
1576921,Music City Jazz Fans,501,5.736389282240517
10178242,Nashville Mobile Developers,1166,5.57597888194753
18923420,20&UP Tennis: Nashville,590,4.579239748349794
24803205,Brentwood Happy Hour / Dining Out Meetup,415,4.391584164445518
18425641,Greater Nashville Networking Group,510,4.246804237809794
1763190,Nashville Tennis Meetup,1563,4.013061372461223
18779992,Nashville API Developers,552,3.9750519296223974
204767,Nashville Podcasters,292,3.9463388856085775
20348898,Nashville Christian Universalists,97,3.8653767262230896
16062152,Design Thinking Nashville,1026,3.834372866572293
8908602,Nashville Network After Work - Business Networking Events,2622,3.829796841167216
18476981,Drink-n-Draw,2514,3.7697819733762294
7151442,Nashville Mobile .NET Developers,372,3.7156906686790148
1492619,Women's  Business Network,2163,3.7114555168134378
20186791,Free & Cheap Events,2189,3.5172730014599947
14649032,Nashville Game Developers,516,3.474142366766122
929402,Paddle Adventures Unlimited,6331,3.459665522424631
25587693,Vegan Peace,63,3.403765786756239
6190702,Fun Happenings Social Group-Nashvilles Most Fun Social Group,2050,3.348383118428747
2496252,Oneness Nashville,874,3.204830282894598
11294262,Let's Talk Franklin Toastmasters Club,608,3.194717990549097
23353167,Nashville Docker Meetup,167,3.071891548642982
14546632,Nashville Machine Learning Meetup,451,3.04107847715132
23674770,Whole-Food Plant-Based Dieters,250,3.0097162517898597
710272,Spiritual Psychology and Consciousness Group,1382,2.9337115524861037
20129636,Nashville Classic and Contemporary Fiction Group (for women),112,2.928889440491533
23515107,CityWalks,654,2.9079109128635245
1728035,WordPress Nashville,1643,2.7918371611038744
10016242,NashJS,1975,2.7424927885941326
18180033,Nashville Chess and Chat Meetup,257,2.6922559163185844
18495240,Middle Tennessee Hiking Meetup,1576,2.5431986073485455
15552112,Intellectual Society of Greater Nashville,652,2.5012270706954918
1697586,The Nashville Chinese Language and Culture Meetup Group,243,2.498648197502708
16477792,Nashville .NET User Group,1371,2.4640694687701874
21245809,Women of Power (WOP),127,2.4088809108222144
23594916,Ethereum Nashville,198,2.3917607682320923
16487812,Code for Nashville,1763,2.094054955126649
1578685,Transition Nashville,674,1.9646219750106968
4705492,"\"WOMEN \"\"Word of Mouth Entrepreneurial Networkers\"\"\"",2307,1.9620218998215542
339011,Nashville Hiking Meetup,15838,1.938955159976533
18562307,Nashville Young Professionals Meetup,3210,1.938852618150194
6641192,Nashville Shambhala Meditation Group,874,1.9241183637987935
21989057,Nashville Amazon Sellers,83,1.920759422149613
19064659,Franklin Books and Discussion Meetup,50,1.800170545179287
6121452,Stand Up Paddle Boarding in Nashville TN.,977,1.7506216511612693
19416348,Bellevue Business Networking Meetup,298,1.674701058465815
19828398,Nashville English Language Learning Meetup,436,1.67096820102386
11625832,PyNash,1442,1.6695874984788
24850344,Goddess and the Moon Metaphysical Meetup,237,1.6561039176594117
19713173,Transplant Nashville,2152,1.6069324061993175
16447162,Nash |> Elixir,391,1.6046256376205352
788001,The Middle TN Alternative Health Meetup Group,992,1.5844198483984815
1324203,Nashville Psychic Meetup,2360,1.5759982151838108
20807142,Music City Young Professionals,1388,1.5118990244609813
15297782,Nashville Product Meetup,560,1.4808325073788482
20336043,Nashville Ladies Volunteering and Having Fun,1639,1.459323795969244
14380872,Business Girls Rock! Nashville Entrepreneurship Meetup,459,1.4530496588276962
19687074,Nashville Spirituality Meetup,703,1.408138902765438
13635532,Thrifting Nashville Meetup,530,1.3887801654047862
19262745,Tennessee Americans United for Separation of Church & State,185,1.3720393401111548
7836842,Nashville UX,1318,1.3705423120316924
19828207,Nashville Purely Social and Super-Awesome Social Group,1441,1.3582537631475924
22197221,Team Green Adventures,1812,1.3030932078248172
26091301,Women's Bible Study,43,1.2955515622895712
18855476,Savvy Coders - Nashville,243,1.2837483890663879
18361585,Make Nashville Meetup,1684,1.2710222034052299
21837219,All Things Angular,302,1.2585437911435196
255854,Nashville Locals,1910,1.2092431079257784
12588802,Nashville Vipassana Meditation Meetup,91,1.1671986698399466
18801828,"SCORE Nashville Events, Networking and Workshops",727,1.1088997171222725
18468466,Big East Fork Hiking & Breakfast Club,411,1.1042693335390892
23398017,Nashville Artificial Intelligence Society,154,1.0889717398332353
19443174,Couples New 2 Nashville & Know (almost) NoOne.  Ages 40 & Up,398,1.0305764588462516
19033734,Franklin Small Business Digital Media Marketing Meetup,296,1.0059602623661985
18314669,Beer and Bible Nashville,445,0.9839456486811098
10016162,Nashville PowerShell User Group (NashPUG),264,0.9733972502463025
3173762,Nashville Java Users' Group,1041,0.9681819545080036
18837102,Nashville Software Automation Professionals,166,0.9678153362492727
19964997,Nashville's Society of Women Business Owners (SOWBO),511,0.9514920152003201
25718653,Nashville Hookah Bar Hook-ups!,16,0.9447209063443032
1451826,Nashville Science Fiction Book Club,726,0.9091950487208912
18798102,Wellness Nashville,540,0.9089345476884306
19266390,Nashville Networking Business Luncheon,1444,0.8935039918921626
7130232,Nashville Software Beginners,1308,0.8754252799012721
6284242,All Things Gardening,293,0.8283562896512674
20135762,Nashville Kubernetes Meetup,120,0.8219877246524104
18314164,NashBI,784,0.8136744400305526
18517376,Nashville Pilgrimage Hiking & Walking Meetup Group,984,0.8097221648097099
23723436,Donelson Networking Group,87,0.7874440866972888
1787157,"GrowNashville: Startup Entrepreneurs, Hackers, & Web Experts",915,0.7868402177083279
17487002,Nashville Alternative Health & Wellness,1328,0.7813208946488912
9376702,Nashville Women Programmers,1091,0.7770001431943289
18767675,Nashville Music-Technology Group,159,0.7739776595686354
14396812,Nashville Faith & Skepticism Meetup,50,0.7647999901289757
22021463,Nashville Bloggers,260,0.749016308618889
18556157,Serial Tanks Meetup,146,0.745458078633862
1473660,Nashville Kayak Lessons,3260,0.7397085894890516
18414590,Women 'n' Wine of Nashville,690,0.7100541821690614
18677333,Enneagram Nashville,54,0.7049041687844657
1776274,"Nashville SEO & Internet Marketing, Over 1,600 Members!",1649,0.7018626749843574
